,Name,Case Number,City,States & Territories,Date Filed,Region Assigned,Status,Date Closed,Reason Closed,No. of Eligible Voters,No. of Employees,Certified Representative,Unit Sought,Fiscal Year
6840,"First Student, Inc.",13-RC-337594,Westmont,IL,2024-03-11,"Region 13, Chicago, Illinois",Closed,07/03/2024,Certification of Results,205.0,185.0,,"Included: all full-time and regular part-time school bus drivers
Excluded: All dispatchers, mechanics/technicians, office clericals employees and guards, monitors, professional employees and supervisors as defined in the Act",2024
6841,Metropolitan Indianapolis Public Media Inc. d/b/a WFYI Public Media,25-RC-337706,Indianapolis,IN,2024-03-11,"Region 25, Indianapolis, Indiana",Closed,03/20/2024,Withdrawal Adjusted,,49.0,,"Included: All full-time and regular part-time employees of Metropolitan Indianapolis Public Media (“MIPM”)
d/b/a WFYI Public Media performing work creating and/or delivering content on any of its digital
platforms, broadcast platforms, or Indiana Public Broadcasting Services including employees in
the following titles or titles performing similar work: reporter, reporter/newscaster, video reporter,
data journalist, producer, editor, producer/editor, digital editor, host, host/producer, announcer,
project manager, bureau chief/host, trainer, audio production specialist, production specialist,
production technical, production coordinator, production manager, broadcast operations
manager, marketing and promotions manager, internet projects, creative services specialist,
engagement marketing specialist, community engagement specialist, community engagement
manager, and volunteer manager.

Excluded: All other employees, confidential employees, managers, guards, and supervisors as defined by the Act.",2024
6842,"Swissport Fueling, Inc.",32-RC-337539,San Jose,CA,2024-03-08,"Region 32, Oakland, California",Closed,05/03/2024,Certific. of Representative,27.0,30.0,International Association of Machinists and Aerospace Workers,"Included: All full time and regular part time employees classified as Fueler, Fueler Supervisor, Quality Control, and Ground Service Equipment Mechanic. 

Excluded: Professional, office clerical and managerial employees, baggage handlers, customer service agents, guards, and supervisors as defined by the Act.",2024
6843,Second Chance Animal Rescue,14-RC-337471,Norman,OK,2024-03-08,"Region 14, Saint Louis, Missouri",Closed,04/23/2024,Certific. of Representative,6.0,8.0,"American Federation of State, County and Municipal Employees, AFL-CIO","Included: All full time and Regular Part time employees; Excluded: All other employees, guards, and supervisors as defined in the act.
",2024
6844,Ferguson Fire & Fabrication Inc.,13-RC-337496,Glendale Heights,IL,2024-03-08,"Region 13, Chicago, Illinois",Closed,04/24/2024,Certific. of Representative,35.0,30.0,Sprinkler Fitters Local 281 of the United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the United States and Canada,"Included: All full-time and regular part-time Senior Welders, Welders, Senior Fabrication
Associates, Fabrication Associates, Senior Warehouse Associates, Warehouse Associates, Senior
CDL Drivers & CDL Drivers employed by Ferguson Fire & Fabrication, Inc. out of its Glendale Heights, Illinois branch office.
Excluded: All other employees, managers, office clericals, professionals, guards, and supervisors
as defined in the Act.",2024
6845,"Wells Fargo Bank, N.A.",12-RC-337494,Belleview,FL,2024-03-08,"Region 12, Tampa, Florida",Closed,04/18/2024,Certification of Results,10.0,10.0,,"Included:  Teller (Full and Part-time)

Excluded: Branch Manager, Branch Service Manager, Financial Advisor",2024
6846,"Chicago Theatre Group, Inc., d/b/a Goodman Theatre",13-RC-337501,Chicago,IL,2024-03-08,"Region 13, Chicago, Illinois",Closed,04/29/2024,Certific. of Representative,45.0,47.0,"Treasurers and Ticket Sellers Union Local 750, IATSE","Included: All full-time and regular part-time Front of House Associates (including bartenders, gift store clerks, compensated ushers, coat check, event staff), Box Office workers, Guest Services, and Facilities Workers 
Excluded: All other employees, managers, office clerical employees, employees represented by another union, professional employees, guards and supervisors as defined in the Act.",2024
6847,"Wells Fargo Bank, N.A.",16-RC-337517,Cedar Hill,TX,2024-03-08,"Region 16, Fort Worth, Texas",Closed,04/15/2024,Certific. of Representative,6.0,8.0,"Wells Fargo Workers United, affiliated with Communications Workers of America, AFL-CIO","Included: Tellers Banker.

Excluded: All other.",2024
6848,The Trustees of Smith College,01-RC-337514,Northampton,MA,2024-03-08,"Region 01, Boston, Massachusetts",Closed,04/17/2024,Certific. of Representative,43.0,43.0,"Office & Professional Employees International Union, Local 153","PROFESSIONAL UNIT:  VOTING GROUP A
Included:  All full-time and regular part-time librarians, archivists, and professional staff employed by the Employer at its libraries in Northampton, Massachusetts.
Excluded: All paraprofessional employees, student employees, confidential employees, managerial employees, all other employees, and guards and supervisors as defined in the Act.
Others Permitted to Vote: The parties agree that Instructional Technologists, Digital Hub Program Managers, Educational Media Producers, Electronic Resources and Serials Librarians, Acquisitions Librarians, Resource Sharing Librarians, Access Services Librarians, and Communications Managers may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.

NON-PROFESSIONAL UNIT:  VOTING GROUP B
Included:  All full-time and part-time paraprofessionals employed by the Employer at its libraries in Northampton, Massachusetts.

Excluded:  All librarians, archivists, professional staff, student employees, confidential employees, managerial employees, all other employees, and guards, professional employees and supervisors as defined in the Act.

OR

In the event the majority of the voting Professionals (Voting Group A) vote to be included in a unit with nonprofessional employees (Voting Group B), the following combined unit is appropriate. 
COMBINED UNIT
Included:  All full-time and regular part-time librarians, archivists, and professional staff, and paraprofessionals employed by the Employer at its libraries in Northampton, Massachusetts.
Excluded:   All student employees, confidential employees, managerial employees, all other employees, and guards and supervisors as defined in the Act.
",2024
6849,FlightSafety International Inc.,10-RC-337551,Savannah,GA,2024-03-08,"Region 10, Atlanta, Georgia",Closed,04/15/2024,Certification of Results,96.0,99.0,,"Included: All full-time and regular part-time flight instructors.

Excluded: Managers, supervisors, and guards.",2024
6850,"Ordnance Holdings, Inc.",21-RC-337568,San Diego,CA,2024-03-08,"Region 21, Los Angeles, California",Closed,04/29/2024,Certific. of Representative,3.0,3.0,"International Association of Machinists and Aerospace Workers, District Lodge 725, AFL-CIO","Included:    All full-time and regular part-time UXO Technicians.

Excluded:   All other employees, guards, and supervisors as defined in the Act.",2024
6851,Logistics Insight Corporation,07-RC-337688,Flint,MI,2024-03-08,"Region 07, Detroit, Michigan",Closed,04/10/2024,Withdrawal Non-adjusted,,18.0,,"Included: All full-time and regular part-time drivers, and switchers 

Excluded: all office clerical employees, professional employees, service and maintenance employees, guards, supervisors as defined by the Act, and all other employees.",2024
6852,Southwest Gas Corporation,31-RC-337532,Victorville,CA,2024-03-08,"Region 31, Los Angeles, California",Closed,04/12/2024,Certific. of Representative,69.0,69.0,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC","Included: All Full and regular part time Service Technicians, Mobile Field Data Collectors, Field Technicians, Service Specialists, Measurement and Control Specialists, Corrosion Technicians, Communications Specialist, Meter Shop Specialist, District Technicians, Construction, Warehouse, Garage Mechanics, Inspection and Building Maintenance Workers in the Southern California Division of Southwest Gas, based out of Victorville and Big Bear California.

Excluded: Excluding all other employees including all temporary employees, contractors, engineers, professional employees, managerial employees, office personnel, guards and supervisors as defined by the Act.

",2024
6853,"Johnson Controls, Inc.",28-RC-337521,Las Vegas,NV,2024-03-08,"Region 28, Phoenix, Arizona",Closed,01/14/2025,Certific. of Representative,5.0,5.0,"United Association of Journeymen & Apprentices of the Plumbing & Pipefitting Industry of the United States & Canada, Local 525, AFL-CIO","Included:  All full time and regular part time HVAC Truck Based Controls service technicians, HVAC Truck Based Senior (Sr) Controls Technicians, and HVAC Truck Based Lead (Ld) Controls Service Technicians employed by Johnson Controls out of its Las Vegas, Nevada branch office. 

Excluded:  All other employees, managers, office clericals, professionals, guards, and supervisors as defined in the Act.",2024
6854,Partners Coffee Retail LLC,29-RC-337743,Brooklyn,NY,2024-03-08,"Region 29, Brooklyn, New York",Closed,04/19/2024,Certific. of Representative,27.0,22.0,"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION, LOCAL 1500, AFL-CIO","Included: All full-time and part-time baristas, kitchen workers, kitchen leads, shift
leads, production and roasters employees, and production driver.
Excluded: All other employees: Managers, IT, clerical, Operations, and Design Staff.
",2024
6855,"Total Management, Inc. and I & S LLC d/b/a Silver Stem Fine Cannabis, a single Employer",27-RC-337519,Littleton,CO,2024-03-08,"Region 27, Denver, Colorado",Closed,05/29/2024,Certific. of Representative,20.0,15.0,"United Food and Commercial Workers Local 7, AFL-CIO","Included: All full-time and regular part-time employees employed at the Littleton Blvd. location Excluded: General Manager, Assistant General Manager, Supervisors, Guards, and Watchmen as defined by the Act",2024
6856,Jewish Community Centers of Denver,27-RC-337490,Denver,CO,2024-03-07,"Region 27, Denver, Colorado",Closed,04/11/2024,Certification of Results,40.0,42.0,,"Included:  Lead Teachers, Support Staff, Specials Staff.

Excluded:  Administrative Staff, Supervisors, Managerial, Confidential Employees, and Guards as defined by the Act.",2024
6857,Bio-Rad Laboratories,32-RC-337406,Hercules,CA,2024-03-07,"Region 32, Oakland, California",Closed,03/15/2024,Withdrawal Non-adjusted,,7.0,,"Included: All full time and part time Chief Engineers, Assistant Chief Engineers, Stationary Engineers Utility Engineers. 225 Linus Pauling Dr., Hercules, CA 94547; 235 Linus Pauling Dr., Hercules, CA 94547; 245 Linus Pauling Dr., Hercules, CA 94547; 255 Linus Pauling Dr., Hercules, CA 94547; 	265 Linus Pauling Dr., Hercules, CA 94547; 487 Aviation Blvd., Santa Rosa, CA 95403; 725 Alfred Nobel Dr., Hercules, CA 94547; 800 Alfred Nobel Dr., Hercules, CA 94547; 825 Alfred Nobel Dr., Hercules, CA 94547; 875 Alfred Nobel Dr., Hercules, CA 94547; 925 Alfred Nobel Dr. Hercules, CA 94547; 1000 Alfred Nobel Dr. Hercules, CA 94547; 2000 Alfred Nobel Dr., Hercules, CA 94547; 4000 Alfred Nobel Dr., Hercules, CA 94547; 6000 James Watson Dr., Hercules, CA 94547; 2500 Atlas Rd., Richmond, CA 94806; 3110 Regatta Blvd., Richmond, CA 94804; 5667 Gibraltar Dr., Pleasanton, CA 94588; 5731 W. Las Positas Blvd., Pleasanton, CA 94588

Excluded: All other classifications, including but not limited to guards, managers, confidential employees and supervisors as defined by the Act.",2024
6858,"OrganicLife, LLC",13-RC-337265,Calumet City,IL,2024-03-06,"Region 13, Chicago, Illinois",Closed,05/08/2024,Certific. of Representative,22.0,30.0,"United Food and Commercial Workers International Union, Local 1546","Included: All leads, servers, cashiers, and monitors working in School District 149, including Dirksen Middle School, Caroline Sibley Elementary School, New Beginnings Learning Academy, Carol Moseley-Braun Elementary, Diekman Elementary, and Berger Vandenberg Elementary Excluded: Managers, supervisors, clerical employees, secretaries, and guards",2024
6859,Cleveland Rape Crisis Center,08-RC-337349,Cleveland,OH,2024-03-06,"Region 08, Cleveland, Ohio",Closed,04/17/2024,Certific. of Representative,43.0,45.0,SEIU District 1199,"Included: Clinical, Advocacy, Child Therapist, Therapist, Specialist, Coordinator, Manager.

Excluded: HR, CEO, Chief.",2024
6860,"U.S. Renal Care, Inc.",21-RC-337318,Chula Vista,CA,2024-03-06,"Region 21, Los Angeles, California",Closed,04/09/2024,Certific. of Representative,2.0,5.0,,,2024
6861,"LAVA RUBBER, LLC",22-RC-337365,Eatontown,NJ,2024-03-06,"Region 22, Newark, New Jersey",Closed,04/01/2024,Certific. of Representative,6.0,3.0,"UNITED FOOD AND COMMERCIAL WORKERS UNION, LOCAL  360","INCLUDED:  All full-time and regular part-time warehouse associates

EXCLUDED:  All other employees, sales employees, supervisors, and guards as defined by the Act.",2024
6862,GFL Environmental USA Inc.,07-RC-337356,Northville,MI,2024-03-06,"Region 07, Detroit, Michigan",Closed,04/09/2024,Withdrawal Non-adjusted,,105.0,,"Included:  All full-time and regular part-time residential drivers, front load drivers, roll off drivers, loaders

Excluded:  Office clerical workers, managerial employees, guards and mechanics and supervisors as defined by the Act.",2024
6863,"Conifer Revenue Cycle Solutions, LLC d/b/a Conifer St. Elizabeth Hospital",19-RC-337268,Enumclaw,WA,2024-03-05,"Region 19, Seattle, Washington",Closed,03/27/2024,Withdrawal Non-adjusted,,12.0,,"Included:

All full-time, part-time, and per-diem Patient Access Representatives, Patient Access Representatives II, Patient Access Representatives III, and Lead Patient Access Representatives.

Excluded:  All supervisory, confidential, and security personnel as defined by the Act.  
",2024
6864,"APAC Central, INC d/b/a Arkhola",15-RC-337175,Harrison,AR,2024-03-05,"Region 15, New Orleans, Louisiana",Closed,03/15/2024,Withdrawal Adjusted,,6.0,,"Included: All Batchman, Driver, Loaders, Mechanics, Operators

Excluded: Supervisors, Managers, and all others as defined in the Act.",2024
6865,"Bull Moose Tube LSP, LLC",16-RC-337169,Sinton,TX,2024-03-05,"Region 16, Fort Worth, Texas",Closed,04/05/2024,Certification of Results,45.0,42.0,,"Including: All full-time and regular part-time production and maintenance employees employed by Bull Moose Tube at its Sinton, TX facility.

Excluding: All temporary employees, office clerical employees, professional employees, managerial employees, guards, and supervisors as defined by the Act.",2024
6866,The Children's Hospital of Philadelphia,04-RC-337174,King of Prussia,PA,2024-03-05,"Region 04, Philadelphia, Pennsylvania",Closed,04/12/2024,Certific. of Representative,6.0,6.0,"International Union of Operating Engineers Local 542, AFL-CIO","Included: All building systems engineers I and II and Building Systems Senior Engineers.

Excluded: All other employees, guards and supervisors as defined by the Act.",2024
6867,"United Natural Foods Inc. and Albert's Organics, Inc.",12-RC-337216,Sarasota,FL,2024-03-05,"Region 12, Tampa, Florida",Closed,05/23/2024,Certific. of Representative,79.0,82.0," International Brotherhood of Teamsters, Local 79","Included: All Drivers 
Excluded: Lift operators, selectors, loaders, inventory control, receiving, and all others",2024
6868,President and Fellows of Harvard College,01-RC-337242,Cambridge,MA,2024-03-05,"Region 01, Boston, Massachusetts",Closed,05/02/2024,Certification of Results,30.0,345.0,,"Voting Group UNIT A (House Aides): 
INCLUDED: All individuals with appointments in the job classification of House Associate (also referred to as House Aides or Faculty Dean Aides) in housing for undergraduate students in Harvard College
EXCLUDED: All faculty and lecturers with only academic appointments, undergraduate students, all other employees in housing, non-resident tutors, office clerical employees, managers, guards, professional employees and supervisors as defined in the Act and all other employees.

Voting Group Unit B (Resident Tutors & Proctors):
INCLUDED: All individuals with appointments in the job classification of proctor or House tutor (also referred to as resident tutors) in housing for undergraduate students in Harvard College
EXCLUDED: All faculty and lecturers with only academic appointments, undergraduate students, all other employees in housing, non-resident tutors, office clerical employees, managers, guards, professional employees and supervisors as defined in the Act and all other employees.
",2024
6869,"Herzog Transit Services, Inc.",16-RC-337226,Irving,TX,2024-03-05,"Region 16, Fort Worth, Texas",Closed,04/16/2024,Certific. of Representative,5.0,5.0,American Train Dispatchers Association,"Included: All full-tie and regular part-time employees that perform clerical/clerk services.

Excluded: All other employees, supervisor, mangers, guards, and confidential employees as defined in the Act.",2024
6870,"Ryder System, Inc.",05-RC-337244,Curtis Bay,MD,2024-03-05,"Region 05, Baltimore, Maryland",Closed,04/11/2024,Withdrawal Non-adjusted,,40.0,,"Included:  All FT/PT material handlers, SAP, receiving, inventory clerks, chip room technicians, mission assurance auditors, consolidators, quality inspectors

Excluded:  All other classifications : clerical, management, temporary employees, drivers, professional employees, security guards as defined in the act
",2024
6871,Dignity Health Medical Foundation,32-RC-337276,Merced,CA,2024-03-05,"Region 32, Oakland, California",Closed,04/12/2024,Certific. of Representative,30.0,34.0,"American Federation of State, County & Municipal Employees Local 2703","Involved: All full-time and regular part-time Certified Medical Assistants, Medical Assistants, Medical Assistant Leads, Medical Assistant/Medical Office Representatives, Medical Office Representatives & Medical Office Representative Leads employed by Employer at its Merced, CA facility. 

Excluded: All other employees, guards, and supervisors as defined by the Act.",2024
6872,Acuity Total Solutions,21-RC-337257,Oxnard,CA,2024-03-05,"Region 21, Los Angeles, California",Closed,04/02/2024,Certific. of Representative,18.0,18.0,SEIU United Service Workers West (USWW),"Included:    Janitorial workers at federal courthouse on 333 W. Broadway, San Diego, CA 92101

Excluded:   Supervisory positions.",2024
6873,"Renal Treatment Centers – California, Inc. D/B/A Davita Concord Dialysis Center",32-RC-337328,Concord,CA,2024-03-05,"Region 32, Oakland, California",Closed,07/05/2024,Certific. of Representative,25.0,18.0,"Service Employees International Union, United Healthcare Workers - West","Involved: CCHT, PCT, RN, Administrative Assistants, LVN, PCT Trainee, Charge RN, Charge Nurse, Secretary 

Excluded: All other employees including supervisors and guards as defined by Act.",2024
6874,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,01-RC-336990,Cambridge,MA,2024-03-04,"Region 01, Boston, Massachusetts",Closed,04/15/2024,Certific. of Representative,4172.0,3100.0,Harvard Academic Workers - UAW (HAW-UAW),"Included: All full-time and regular part-time non-tenure-track employees and appointees of Harvard University performing teaching or research, regardless of funding source (paid directly or indirectly), and who work at Harvard Faculty of Arts and Sciences, Harvard Medical School, or Harvard Divinity School, including Lecturers, Associate Senior Lecturers, Senior Lecturers, Postdoctoral Research Fellows, Instructors, Teaching Assistants, Associates, College Fellows, Curriculum Fellows, Curriculum and Pedagogy Managers, Fellows, Junior Fellows, Peirce Fellows, Preceptors, Assistant Directors, Directors, Research Assistants, Research Associates, Research Fellows, Research Scientists, Researchers, and Engineers. 

Excluded: The Division of Continuing Education, Dumbarton Oaks, the Center for Hellenic Studies; undergraduate students; Professors in Residence; Professors of the Practice; Professors Emeriti; visitors with a primary tenure-track appointment at another institution; Supervisors, managers, and guards as defined in Act; and all employees already represented by another union",2024
6875,President and Fellows of Harvard College,01-RC-337044,Cambridge,MA,2024-03-04,"Region 01, Boston, Massachusetts",Closed,04/11/2024,Certific. of Representative,80.0,110.0,Harvard Academic Workers - UAW (HAW-UAW),"INCLUDED: All full-time and regular part-time employees in the Harvard Law School clinical programs who provide clinical legal education to law students and/or legal services to clients or communities. This includes: Clinical fellow, senior clinical fellow, clinical instructor, senior clinical instructor, staff attorney, senior staff attorney, lecturer on law, social worker, Managing Attorney, Assistant Director, Associate Director, Director, and others with similar work responsibilities, in the HLS clinical programs (comprising in-house clinics, externship clinics, and student practice organizations).
EXCLUDED: Assistant Clinical Professor of Law, Visiting Assistant Clinical Professor of Law, Clinical Professor of Law, Visiting Clinical Professor of Law, Assistant Professor of Law, Professor of Law, Professor of Practice, Visiting Professor of Law, supervisors, managers, and guards as defined in Act, undergraduate students, and all employees already represented by another union. 
",2024
6876,"AEMI Holdings, LLC",21-RC-337062,San Diego,CA,2024-03-04,"Region 21, Los Angeles, California",Closed,03/12/2024,Withdrawal Non-adjusted,,75.0,,"Included: Production and testing employees, support staff, non-managerial engineers 

Excluded: Executives, managers, finance",2024
6877,Bucknell University,06-RC-337047,Lewisburg,PA,2024-03-04,"Region 06, Pittsburgh, Pennsylvania",Closed,04/12/2024,Certific. of Representative,111.0,110.0,"Office & Professional Employees International Union, Local 153","Included: All Resident Advisers.

Excluded: All other employees.",2024
6878,"Safeway, Inc.",19-RC-337054,Ridgefield,WA,2024-03-04,"Region 19, Seattle, Washington",Closed,04/10/2024,Certific. of Representative,44.0,44.0,United Food and Commercial Workers Local 555,"Included: All part-time and full-time Lead Central Fill Technicians, Central Fill Technicians, Central Fill Fulfillment Specialists, Central Fill Inventory Technicians, Lead Central Fill Inventory Technicians, and Central Fill Maintenance Specialist. Excluded: Central Fill Group Supervisors, Central Fill Pharmacist in Charge, Central Fill Pharmacists, Pharmacists On-Call, Pharmacist-intern-Graduates, Guards, Supervisors, and Managers as defined by the Act.",2024
6879,Bowdoin College,01-RC-337040,Brunswick,ME,2024-03-04,"Region 01, Boston, Massachusetts",Closed,04/02/2024,Withdrawal Non-adjusted,,79.0,,Included: All Resident Assistants & Proctors. Excluded: All other employees.,2024
6880,"Optum Medical Care, PC",02-RC-337181,Briarcliff Manor,NY,2024-03-04,"Region 02, New York, New York",Closed,03/27/2024,Withdrawal Non-adjusted,,20.0,,"Included: All full time and regular part time employees, including per diems*, working for the Employer at its facility located at 537 North State Road in Briarcliff Manor, NY. 
*Per Diem employees are eligible to vote if they worked an average of four or more hours per week during the thirteen week period immediately preceding the payroll eligibility date.

Excluded: All physicians, confidential employees, guards, managerial employees, and supervisors as defined in the Act.",2024
6881,DaVita San Ysidro Dialysis,21-RC-337162,San Diego,CA,2024-03-04,"Region 21, Los Angeles, California",Open,,,,35.0,,"Included:  CCHT, PCT, RN, Administrative Assistants, LVN, PCT Trainee, Charge RN, Charge Nurse, Secretary.


Excluded:  All other employees including supervisors and guards as defined by Act.
",2024
6882,"Barnes and Noble, Inc.",32-RC-337165,El Cerrito,CA,2024-03-04,"Region 32, Oakland, California",Closed,04/17/2024,Certific. of Representative,23.0,31.0,"United Food and Commercial Workers, Local 5","Included: Booksellers, Lead/Senior Booksellers, Baristas, Lead/Senior Baristas, Cafe Team Expe

Excluded: Managers, Assistant Store Managers",2024
6883,Planned Parenthood Keystone,04-RC-337199,Warminster,PA,2024-03-04,"Region 04, Philadelphia, Pennsylvania",Closed,03/12/2024,Withdrawal Non-adjusted,,40.0,,"Included: All full time and regular part time Non-Professional employees. Also see Appendix A.
Excluded: Professional employees, supervisors, managerial, confidential employees and guards as defined by the Act.
",2024
6884,"DVA Renal Healthcare, Inc. d/b/a DaVita North Hollywood Dialysis Center",31-RC-337145,North Hollywood,CA,2024-03-04,"Region 31, Los Angeles, California",Open,,,,26.0,,"Included: CCHT, PCT, RN, Administrative Assistants, LVN, PCT Trainee, Charge RN, Charge Nurse, Secretary.

Excluded: All other employees including supervisors and guards as defined by the Act.",2024
6885,"Renal Treatment Centers - California, Inc. d/b/a DaVita Elk Grove Dialysis Center",20-RC-337152,Elk Grove,CA,2024-03-04,"Region 20, San Francisco, California",Open,,,,21.0,,"Included: CCHT, PCT, RN, Administrative Assistants, LVN, PCT Trainee,
Charge RN, Charge Nurse, Secretary.
 
Excluded: All other employees including supervisors and guards as defined by Act.
",2024
6886,"Total Renal Care, Inc. d/b/a DaVita West Elk Grove Dialysis Center",20-RC-337173,Elk Grove,CA,2024-03-04,"Region 20, San Francisco, California",Closed,09/12/2024,Certification of Results,10.0,10.0,,"Included: CCHT, PCT, RN, Administrative Assistants, LVN, PCT Trainee, Charge RN, Charge Nurse, Secretary.

Excluded: All other employees including supervisors and guards as defined by the Act.
",2024
6887,"Total Renal Care, Inc. d/b/a DaVita Valencia Dialysis Center",31-RC-337148,Santa Clarita,CA,2024-03-04,"Region 31, Los Angeles, California",Open,,,6.0,6.0,"Service Employees International Union, United Healthcare Workers-West","Included: CCHT, PCT, RN, Administrative Assistants, LVN, PCT Trainee, Charge RN, Charge Nurse, Secretary, Clinical Coordinator.

Excluded: All other employees including supervisors and guards as defined by Act.",2024
6888,StoryCorps,29-RC-337277,Brooklyn,NY,2024-03-04,"Region 29, Brooklyn, New York",Closed,03/13/2024,Withdrawal Non-adjusted,,13.0,,"Included: All temporary employees of the Employer, including but not limited to: Mobile Facilitators, Temporary Field Managers, Temporary Facilitators, Temporary Radio Relations Managers. Temporary Participant Relations Associates, and Temporary Schedulers.

 Excluded: All supervisory and managerial employees, confidential employees, permanent employees, guards, and supervisors as defined by the Act.",2024
6889,DaVita Cathedral City Dialysis,21-RC-337193,Cathedral City,CA,2024-03-04,"Region 21, Los Angeles, California",Open,,,,18.0,,"Included: CCHT, PCT, RN, Administrative Assistants, LVN, PCT Trainee, Charge RN, Charge Nurse, Secretary

Excluded: All other employees including supervisors and guards as defined by Act.",2024
6890,"Gold Star Foods, Inc.",20-RC-337104,Dixon,CA,2024-03-04,"Region 20, San Francisco, California",Closed,04/26/2024,Certification of Results,42.0,40.0,,"Included: All full-time and regular part-time warehouse employees (forklift operators,
order selectors, loaders, leads).

Excluded: All other employees, guards, managers, confidential employees, and supervisors as defined by the Act.",2024
6891,"Carroll Electric Cooperative, Inc.",08-RC-336980,Carrollton,OH,2024-03-01,"Region 08, Cleveland, Ohio",Closed,04/18/2024,Certific. of Representative,17.0,17.0,"Utility Workers Union of America, AFL-CIO","Included: Linemen, Meter Room, Staking Engineers, Mechanics and Warehouse Coordinators

Excluded: Managerial employees, professional employees, guards and supervisors as defined in the Act and all other employees.
",2024
6892,"Luke & Associates, Inc.",10-RC-336868,Beaufort,SC,2024-03-01,"Region 10, Atlanta, Georgia",Closed,04/24/2024,Certific. of Representative,21.0,20.0,"International Union of Operating Engineers Local 465, AFL-CIO","All full-time and regular-part time employees employed by the Employer at Marine Corp Air Station Dental Clinic
and Parris Island Dental Clinic, including dental technicians, dental assistants, and hygienists but excluding all other employee’s managerial employees, office clerical employees, guards, and supervisors as defined by the Act.
",2024
6893,"CDA, Inc. d/b/a MaxSent and Kerberos International, Inc.",05-RC-336945,Arlington,VA,2024-03-01,"Region 05, Baltimore, Maryland",Open,,,,9.0,,"Included: ALL EMPLOYEES PERFORMING GUARD DUTIES AS DEFINED IN SECTION 9(b)(3) OF THE NATIONAL LABOR RELATIONS ACT, EMPLOYED BY KERBEROS/MAXSENT@ 600-700 ARMY NAVY DR., ARLINGTON, VA 22202

Excluded: ALL OFFICE CLERICAL EMPLOYEES, PROFESSIONAL EMPLOYEES AND SUPERVISORS AS DEFINED BY THE ACT.

",2024
6894,Swedish Hospital,13-RC-336906,Chicago,IL,2024-03-01,"Region 13, Chicago, Illinois",Closed,04/11/2024,Certification of Results,19.0,17.0,,"Included: All Full-time and regular part-time skilled maintenance employees working for Swedish Hospital at 5140 N. California Ave, Chicago, IL 60625
Excluded: Office clerical, professional employees, managers, guards and supervisors as defined by the Act.",2024
6895,"Cetronia Ambulance Corps, Inc.",04-RC-336940,Allentown,PA,2024-03-01,"Region 04, Philadelphia, Pennsylvania",Closed,04/03/2024,Certification of Results,119.0,130.0,,"Included: All full-time, regular part-time, and per diem Paramedics, Emergency Medical Technicians, and Paratransit Drivers, including Paratransit Crew Chiefs, employed by the Employer at its facility located at 4300 Broadway, Allentown, Pennsylvania and who currently work at the following locations: Lynn Township (Community Fire Company New Tripoli), Upper Macungie Township (Station 56), Weisenberg Township (Weisenberg Volunteer Fire Department), and Whitehall Township (Whitehall/Coplay Station).

Excluded: All other employees, confidential employees, managerial employees, dispatch and communication center employees, guards and supervisors as defined in the Act.",2024
6896,"Aramark Management Services, LP",01-RC-336877,West Hartford,CT,2024-03-01,"Region 01, Boston, Massachusetts",Closed,04/01/2024,Certification of Results,20.0,22.0,,"Included: All full-time and regular part-time maintenance workers, in the following job classifications:  HVAC, Electricians, Plumbers, Painters, Locksmiths, Carpenter, and working Leads employed by Aramark Educational Services LLC at the University of Hartford located at 200 Bloomfield Ave., West Hartford, Connecticut.

Excluded:  All Sales Analysts, Business Services Analysts, Operations Finance Specialists, Custodial workers, Student workers, Office Clerical workers, temporary or relief employees, Subcontractors, Directors, managerial employees, all other employees, and guards, professional employees and supervisors as defined in the Act.
",2024
6897,"Chicago Theatre Group, Inc. d/b/a The Goodman Theatre",13-RC-336952,Chicago,IL,2024-03-01,"Region 13, Chicago, Illinois",Closed,03/08/2024,Withdrawal Non-adjusted,,47.0,,"Included: All full-time and regular part-time Front of House Associates (including bartenders, gift store clerks, compensated ushers, coat check, event staff), Box office workers, Guest services and Facilities workers.
Excluded: all other employees, managers, office clerical employees, employees represented by another Union, professional employees, guards and supervisors as defined in the Act.",2024
6898,The Vail Corporation d/b/a Keystone Resort,27-RC-337002,Keystone,CO,2024-03-01,"Region 27, Denver, Colorado",Closed,04/15/2024,Certific. of Representative,93.0,93.0,"Communications Workers of America, Local 7781, AFL-CIO","Included: All full-time and regular part-time ski patrollers (including entry, intermediate, advance, specialist, and lead patrollers). Excluded: All supervisory, managerial, confidential, and guard employees under the Act.",2024
6899,"Northwest Confections, LLC",19-RC-337016,Clackamas,OR,2024-03-01,"Region 19, Seattle, Washington",Closed,09/03/2024,Certification of Results,35.0,37.0,,"Included: All full-time and part-time inventory, kitchen, and packaging employees and leads. Excluded: All professional, sales and office/clerical employees, guards, and supervisors as defined by the Act.",2024
